ID,NAME,参照元フェス,BIO,SNS,画像,詳細ページ,分類,知名度メモ
four-tet,Four Tet,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名な音楽家・DJ
fuji,FUJI,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
ga-su,Ga Su,ala,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
gerd-janson,Gerd Janson,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名なDJ／レーベル運営
haai,Haai,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に活動するDJ・プロデューサー
helena-hauff,Helena Hauff,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名なDJ・プロデューサー
hunee,Hunee,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名なDJ
iron,Iron,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
janus-rose,Janus Rose,waifu,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
joma,Joma,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
jonathan-kusuma,Jonathan Kusuma,rainbow-disco-club,なし,なし,なし,あり,判断が要る,国際的な出演歴がある可能性が高いが、要確認
jonny-rock,Jonny Rock,rainbow-disco-club,なし,なし,なし,あり,判断が要る,DJ／ディガーとして知られる可能性があるが、要確認
juana-molina,Juana Molina,festival-de-frue,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名な音楽家
kiko-dinucci,Kiko Dinucci,festival-de-frue,なし,なし,なし,あり,明らかに国際的に知られている,国際的な活動・リリースで知られる
kohei,Kohei,letus-music-camp,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
kuo-from-sunset-rollercoaster,Kuo From Sunset Rollercoaster,festival-de-frue,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
liarako,Liarako,ala,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
mala,Mala,rainbow-disco-club,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名なベース／ダブステップ系アーティスト
mayudepth,Mayudepth,waifu,なし,なし,なし,あり,日本のシーンで知られている,日本のシーンで知られるDJ／プロデューサー
mimu,Mimu,paramount,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
naotsun,Naotsun,etsuetsu,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
nc4k,Nc4k(Stones Taro b2b Lomax),rainbow-disco-club,なし,なし,なし,あり,判断が要る,Stones Taro b2b Lomaxの表記を含むため、登録方針の判断が必要
noritake,Noritake,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
nutmeg,Nutmeg,ala,なし,なし,なし,あり,判断が要る,日本のシーンでの活動は要確認
ojisan,Ojisan,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
pianeti-sintetici,Pianeti Sintetici,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
prins-thomas,Prins Thomas,matricaria,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名なDJ／プロデューサー
psychogem,Psychogem,arch,なし,なし,なし,あり,日本のシーンで知られている,日本のシーンで活動。別名義DJ HIROAKIあり
qmico,Qmico,ala,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
sho,Sho,arch,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
snipe1,Snipe1,ala,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
space-drum-meditation,Space Drum Meditation,paramount,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
suguru-mochizuki,Suguru Mochizuki,matricaria,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
sylvan-esso,Sylvan Esso,festival-de-frue,なし,なし,なし,あり,明らかに国際的に知られている,国際的に著名な音楽ユニット
taichi-kawahira,Taichi Kawahira,ala,なし,なし,なし,あり,日本のシーンで知られている,日本のシーンで知られるDJ／プロデューサー
takehiro-imaizumi,Takehiro Imaizumi,arch,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
tazzy,Tazzy,arch,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
the-master-musicians-of-joujouka,The Master Musicians Of Joujouka,festival-de-frue,なし,なし,なし,あり,明らかに国際的に知られている,国際的に知られる伝統音楽グループ
tko,Tko,arch,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
tmak,Tmak,arch,なし,なし,なし,あり,判断が要る,日本のシーンでの活動は要確認
tsutomu,Tsutomu,ala,なし,なし,なし,あり,判断が要る,日本のシーンでの活動は要確認
yazzus,Yazzus,waifu,なし,なし,なし,あり,日本のシーンで知られている,日本を拠点に国際的にも活動するDJ／プロデューサー
yeark,Yeark,arch,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
you-forgot,You Forgot,etsuetsu,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない
yukimasa,YUKIMASA,matricaria,なし,なし,なし,あり,日本のシーンで知られている,日本のシーンで知られるDJ／プロデューサー
yuripon,Yuripon,arch,なし,なし,なし,あり,判断が要る,ARCH出演歴はあるが、活動規模は要確認
zundoko-disco,ZUNDOKO DISCO,spring-love-harukaze,なし,なし,なし,あり,知らない / 情報がない,公開データ上は参照1件以外のBIO/SNS/画像情報なし。知名度は判断できない

